title,company,metro,link
Бизнес-аналитик,ООО НПП САМАРАВЗРЫВТЕХНОЛОГИЯ,,https://hh.ru/vacancy/76641471?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик по продажам / Аналитик по планированию и прогнозированию продаж,Спецобъединение Юго-Запад,Кунцевская и еще 1 ,https://hh.ru/vacancy/74388787?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик,ADAPTER,,https://hh.ru/vacancy/76507495?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик,"ПАО «МТС», IT",Технопар,https://hh.ru/vacancy/76677855?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик данных/BI аналитик,ООО Инфоурок,,https://hh.ru/vacancy/75678417?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик данных,Мегаполис,Выставочная,https://hh.ru/vacancy/76651639?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Младший аналитик,Simple. Коммерческая дирекция B2B,инская,https://hh.ru/vacancy/76711469?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик данных (Data Analist),ООО Профессиональный экологический консалтинг,,https://hh.ru/vacancy/76584671?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик данных (E-commerce),Франчайзинговая розничная сеть Галамарт,Парк культуры и еще 1 ,https://hh.ru/vacancy/76450059?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
Аналитик качества данных,Группа Самолет,,https://hh.ru/vacancy/76004470?from=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85
